"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Vinny Nittoli","MIL","RP","20.1","21","1","0","4.60","1.28","10","18","8","4","16","0","1","0","0%"
"Cooper Criswell","BOS","SP,RP","29.6","22","1","0","4.42","1.35","15","31","9","3","17","2","1","0","0%"
"Ricky Vanasco","DET","SP,RP","14.0","14","1","0","4.76","1.60","7","12","10","1","14","0","1","0","0%"
"Ryan Miller","DET","RP","22.0","19","1","0","4.43","1.29","11","21","7","3","20","0","1","0","0%"
"Ian Gibaut","CIN","RP","20.1","19","1","0","4.73","1.45","11","19","10","3","19","0","1","0","0%"
"Andrew Saalfrank","ARI","RP","22.6","21","1","0","3.84","1.42","10","21","11","2","22","0","1","0","0%"
"Shintaro Fujinami","SEA","SP,RP","26.0","28","1","0","4.32","1.40","12","22","15","3","25","0","1","0","0%"
"Jake Diekman","ATL","RP","39.9","46","2","0","4.26","1.43","19","33","24","5","39","0","2","0","0%"
"Ryan Gusto","HOU","SP","35.9","30","2","0","4.47","1.34","18","35","13","5","19","3","2","0","0%"
"Nabil Crismatt","PHI","SP,RP","11.7","10","1","0","4.71","1.36","6","12","4","2","11","0","1","0","0%"
"Austin Warren","NYM","RP","14.4","13","1","0","4.28","1.36","7","14","6","2","13","0","1","0","0%"
"Alan Rangel","PHI","SP,RP","21.2","19","1","0","4.69","1.35","11","21","8","3","20","0","1","0","0%"
"Joely Rodriguez","","RP","25.7","22","1","0","4.13","1.40","12","26","10","3","25","0","1","0","0%"
"Phil Bickford","CHC","RP","24.0","26","1","0","4.36","1.25","12","21","9","3","21","0","1","0","0%"
"Grant Wolfram","MIL","RP","21.5","21","1","0","4.33","1.42","10","20","11","2","21","0","1","0","0%"
"Rafael Montero","HOU","RP","46.1","43","2","1","4.44","1.38","23","44","19","6","44","0","2","0","0%"
"Michael Darrell-Hicks","LAA","RP","15.7","13","1","0","4.51","1.36","8","16","5","2","15","0","1","0","0%"
"Chris Devenski","NYM","RP","21.7","21","1","0","4.54","1.29","11","20","8","4","20","0","1","0","0%"
"Cam Schlittler","NYY","SP","9.1","8","1","0","4.48","1.35","5","9","4","1","2","2","1","0","0%"
"Chasen Shreve","ATL","RP","13.1","13","1","0","4.46","1.30","6","12","5","2","12","0","1","0","0%"
"Scott Blewett","MIN","RP","32.7","26","2","0","4.66","1.41","17","34","12","5","29","0","2","0","0%"
"Mason Thompson","WSH","RP","38.0","31","2","0","4.36","1.39","18","38","15","4","36","0","2","0","0%"
"Tom Cosgrove","SD","RP","38.7","37","2","0","4.28","1.33","18","35","16","5","39","0","2","0","0%"
"Luis Patino","SD","RP","14.2","12","1","0","4.43","1.37","7","13","6","2","11","0","1","0","0%"
"Brad Lord","WSH","SP","26.5","18","1","0","4.76","1.37","14","28","9","4","20","2","1","0","0%"
"John McMillon","PHI","RP","30.4","33","2","0","4.48","1.48","15","26","19","4","29","0","2","0","0%"
"Zach Penrod","BOS","SP,RP","16.8","18","1","0","4.23","1.42","8","15","9","2","19","0","1","0","0%"
"Elvin Rodriguez","MIL","SP,RP","22.7","20","1","0","4.44","1.34","11","22","9","3","21","0","1","0","0%"
"Blake Walston","ARI","SP,RP","31.4","27","2","0","4.36","1.40","15","31","13","4","25","0","2","0","0%"
"Drew Rom","STL","SP","16.9","16","1","0","4.62","1.48","9","17","8","2","4","3","1","0","0%"
"Ryan Bergert","SD","SP","20.0","16","1","0","4.77","1.41","11","20","8","3","13","2","1","0","0%"
"Adam Cimber","","RP","24.2","18","1","0","4.63","1.36","12","25","8","3","24","0","1","0","0%"
"Dietrich Enns","DET","RP","16.9","15","1","0","5.15","1.47","10","18","7","3","16","0","1","0","0%"
"Kade Strowd","BAL","RP","24.2","23","1","0","4.21","1.42","11","23","11","3","24","0","1","0","0%"
"Luarbert Arias","MIA","RP","31.7","29","2","0","4.44","1.34","16","30","12","5","30","0","2","0","0%"
"JB Bukauskas","MIL","RP","14.6","14","1","0","4.35","1.43","7","13","8","2","13","0","1","0","0%"
"Amir Garrett","TOR","RP","20.9","25","1","0","4.48","1.40","10","17","12","3","22","0","1","0","0%"
"Casey Legumina","SEA","RP","31.4","27","2","0","4.45","1.35","16","31","11","5","30","0","2","0","0%"
"Jeff Brigham","ARI","RP","16.6","17","1","0","4.48","1.38","8","15","8","3","16","0","1","0","0%"
"Josh Staumont","CIN","RP","26.2","26","1","0","4.47","1.42","13","23","14","3","25","0","1","0","0%"
"Ray Kerr","ATL","RP","9.4","11","0","0","4.03","1.35","4","9","4","1","7","0","0","0","0%"
"Steven Cruz","KC","RP","38.0","36","2","0","4.22","1.41","18","35","19","4","36","0","2","0","0%"
"Emiliano Teodo","TEX","SP","20.9","21","1","0","4.25","1.40","10","18","11","3","17","1","1","0","1%"
"Tyler Owens","DET","RP","22.9","18","1","0","4.45","1.38","11","23","8","3","22","0","1","0","0%"
"Josh Winder","ARI","RP","19.8","17","1","0","4.36","1.34","10","20","6","2","10","0","1","0","0%"
"Yerry De Los Santos","NYY","RP","26.8","22","1","0","4.14","1.34","12","26","10","3","26","0","1","0","0%"
"Genesis Cabrera","NYM","RP","45.6","42","2","0","4.32","1.36","22","42","20","6","45","0","2","0","1%"
"Rob Zastryzny","NYY","SP,RP","16.1","16","1","0","4.62","1.37","8","15","7","2","15","1","0","0","0%"
"Zach Pop","TOR","RP","49.6","39","2","0","4.18","1.34","23","49","18","5","49","0","3","0","0%"
"Bryse Wilson","CWS","SP,RP","90.0","66","3","0","4.73","1.36","47","95","28","15","35","11","6","0","0%"
"Alex Cornwell","STL","SP","7.6","5","0","0","4.24","1.37","4","8","2","1","8","0","0","0","0%"
"Chris Roycroft","STL","RP","45.7","38","2","0","4.14","1.42","21","44","21","4","42","0","3","0","0%"
"Rolddy Munoz","ATL","RP","20.1","19","1","0","4.29","1.43","10","20","9","3","20","0","1","0","0%"
"Gavin Hollowell","CHC","RP","9.0","9","0","0","4.39","1.35","4","8","4","1","9","0","0","0","0%"
"J.B. Wendelken","SD","RP","18.2","16","1","0","4.30","1.38","9","17","8","2","18","0","1","0","0%"
"Eric Lauer","TOR","SP","26.1","25","2","0","4.72","1.41","14","26","11","5","7","1","2","0","3%"
"Patrick Murphy","TEX","RP","24.0","23","1","0","4.29","1.42","11","23","11","3","24","0","1","0","0%"
"Andrew Alvarez","WSH","RP","7.6","5","0","0","4.05","1.40","3","8","3","1","3","1","1","0","0%"
"Clay Helvey","WSH","RP","19.6","22","1","0","4.43","1.41","10","17","11","2","18","0","1","0","0%"
"Mason Barnett","ATH","SP","11.5","10","1","0","4.44","1.37","6","11","5","2","3","2","1","0","0%"
"T.J. McFarland","ATH","RP","58.5","42","3","0","4.19","1.36","27","60","20","6","59","0","3","0","0%"
"Justin King","MIA","RP","7.5","8","0","0","4.45","1.47","4","7","4","1","7","0","0","0","0%"
"Victor Gonzalez","LAA","RP","22.3","17","1","0","4.43","1.43","11","22","10","3","21","0","1","0","0%"
"Gerson Garabito","TEX","RP","26.2","24","1","0","4.41","1.33","13","25","10","4","23","0","1","0","0%"
"Elvis Alvarado","ATH","RP","20.1","20","1","0","4.43","1.44","10","18","11","2","19","0","1","0","0%"
"Grant Anderson","MIL","RP","28.7","29","1","0","4.24","1.31","14","27","11","4","26","0","2","0","0%"
"Stephen Kolek","SD","RP","60.6","49","3","0","4.30","1.38","29","61","23","6","34","5","3","0","0%"
"Sean Reynolds","SD","RP","44.6","46","2","0","4.28","1.42","21","41","23","5","42","0","2","0","0%"
"Easton Lucas","TOR","RP","25.8","23","1","0","4.29","1.37","12","24","11","3","23","0","1","0","0%"
"Wade Miley","CIN","SP","41.5","27","2","0","4.80","1.41","22","44","15","6","8","8","3","0","1%"
"Alex Young","CIN","RP","14.5","13","1","0","4.71","1.40","8","14","6","2","14","0","1","0","1%"
"Alex Speas","MIN","RP","9.8","11","1","0","4.44","1.50","5","8","7","1","9","0","1","0","0%"
"Kyle Leahy","STL","RP","53.9","43","3","0","4.44","1.38","27","55","20","7","47","0","3","0","0%"
"Colten Brewer","NYY","RP","23.4","22","1","0","4.50","1.37","12","22","10","3","22","0","1","0","0%"
"Grant Hartwig","NYM","RP","17.5","16","1","0","4.53","1.48","9","16","10","2","14","0","0","0","0%"
"Taylor Clarke","KC","SP,RP","11.6","10","0","0","4.38","1.33","6","12","4","2","10","0","1","0","0%"
"J.P. France","HOU","SP","27.4","24","1","0","4.61","1.41","14","27","12","4","15","2","2","0","0%"
"Caleb Kilian","CHC","SP,RP","24.3","19","1","0","4.29","1.36","12","24","9","3","16","2","1","0","0%"
"Matt Bowman","BAL","RP","19.3","16","1","0","4.38","1.36","9","19","8","2","17","0","1","0","0%"
"Tekoah Roby","STL","SP","9.2","7","0","0","4.87","1.35","5","10","3","1","2","2","1","0","0%"
"Ben Heller","CHC","RP","13.4","17","0","0","4.70","1.34","7","12","6","2","11","0","1","0","0%"
"Tommy Henry","ARI","SP","29.7","25","1","0","4.49","1.42","15","30","12","4","25","0","1","0","0%"
"Randy Dobnak","MIN","SP,RP","10.5","8","0","0","4.34","1.41","5","10","4","1","8","0","0","0","0%"
"Joey Lucchesi","SF","SP,RP","17.7","12","1","0","4.38","1.46","9","19","7","2","13","1","1","0","0%"
"Cristian Mena","ARI","SP","17.9","16","1","0","4.29","1.39","9","18","7","2","12","2","1","0","0%"
"Brent Honeywell Jr.","","RP","30.3","21","1","0","4.71","1.41","16","31","12","5","20","0","1","0","0%"
"Chris Murphy","BOS","RP","9.8","9","0","0","4.33","1.39","5","9","4","1","7","0","0","0","0%"
"Dylan Dodd","ATL","SP,RP","27.1","22","1","0","4.60","1.37","14","29","8","4","23","0","1","0","0%"
"Jacob Latz","TEX","RP","48.3","49","2","0","4.33","1.40","23","43","25","7","47","0","2","0","0%"
"Geoff Hartlieb","NYY","RP","16.0","14","1","0","4.50","1.39","8","16","7","2","15","0","1","0","0%"
"Ryan Loutos","STL","RP","31.7","27","2","0","4.28","1.40","15","32","13","3","32","0","1","0","0%"
"Max Kranick","NYM","SP,RP","38.5","32","2","0","4.36","1.31","19","37","13","6","35","0","2","0","0%"
"Jimmy Herget","COL","RP","44.1","38","2","0","4.58","1.35","22","46","14","7","40","0","2","0","0%"
"Joe Jacques","LAD","RP","13.1","10","1","0","4.15","1.41","6","13","5","1","12","0","1","0","0%"
"Travis Adams","MIN","SP","18.5","14","1","0","4.50","1.37","9","19","6","2","12","2","1","0","0%"
"Tim Mayza","PIT","RP","49.5","37","2","0","4.20","1.40","23","52","17","5","50","0","2","0","0%"
"Tyler Jay","MIL","RP","13.2","12","1","0","4.14","1.38","6","13","5","1","9","0","0","0","0%"
"Domingo German","","SP,RP","33.2","28","1","0","4.91","1.29","18","31","12","5","7","5","2","0","0%"
"Jonathan Bowlan","KC","SP,RP","32.3","26","2","0","4.44","1.35","16","33","10","4","29","0","2","0","0%"
"Gus Varland","CWS","RP","57.3","53","2","3","4.40","1.39","28","57","22","8","53","0","3","0","0%"
"Ryan Zeferjahn","LAA","RP","56.4","58","2","1","4.46","1.39","28","51","28","8","51","0","3","0","0%"
"Josiah Gray","WSH","SP","12.9","11","1","0","4.70","1.37","7","12","5","2","6","2","1","0","0%"
"Roansy Contreras","BAL","SP,RP","31.3","28","1","0","4.41","1.32","15","29","12","4","27","0","1","0","0%"
"Hogan Harris","ATH","SP,RP","42.9","39","2","0","4.42","1.41","21","40","20","6","36","1","2","0","0%"
"Sean Newcomb","BOS","RP","11.9","11","0","0","4.86","1.54","6","11","7","2","10","0","1","0","0%"
"Brad Keller","CHC","SP,RP","23.6","18","1","0","4.44","1.44","12","24","10","3","18","1","1","0","0%"
"Jhonathan Diaz","SEA","SP,RP","10.5","9","0","0","4.24","1.39","5","10","4","1","4","2","1","0","0%"
"Tejay Antone","CIN","SP,RP","10.2","9","0","0","4.57","1.40","5","10","4","1","11","0","0","0","0%"
"Jose Urena","NYM","SP,RP","19.2","14","1","0","4.55","1.40","10","20","7","3","15","0","1","0","1%"
"Brandon Hughes","CHC","RP","14.4","15","1","0","4.33","1.31","7","13","6","2","14","0","1","0","0%"
"Jose Cuas","PHI","RP","10.4","10","0","0","4.48","1.44","5","10","5","1","10","0","1","0","0%"
"Shaun Anderson","LAA","SP,RP","9.5","7","0","0","4.46","1.37","5","10","3","1","7","0","0","0","0%"
"Daniel Bard","","RP","26.9","26","2","0","4.61","1.48","14","24","15","3","26","0","2","0","0%"
"Drue Hackenberg","ATL","SP","7.9","7","0","0","4.56","1.49","4","8","4","1","2","2","0","0","0%"
"Connor Seabold","TB","SP,RP","12.8","11","1","0","4.89","1.30","7","13","4","2","8","1","1","0","0%"
"Chase Shugart","PIT","RP","20.6","17","1","0","4.53","1.41","10","21","8","2","19","0","1","0","0%"
"Connor Brogdon","LAA","RP","30.6","32","1","0","4.51","1.35","15","29","13","5","28","0","2","0","0%"
"John Rooney","MIA","SP","25.5","23","1","0","4.40","1.42","12","25","11","3","23","0","1","0","0%"
"Mick Abel","PHI","SP","19.0","17","1","0","4.59","1.45","10","18","10","3","17","0","1","0","1%"
"Marco Gonzales","","SP","14.0","10","1","0","4.77","1.40","7","15","5","2","3","3","1","0","1%"
"Anthony DeSclafani","","SP","49.3","39","3","0","4.58","1.32","25","52","13","8","11","9","3","0","0%"
"Jake Eder","CWS","SP,RP","14.3","12","1","0","4.84","1.51","8","14","7","2","12","0","1","0","0%"
"Yohan Ramirez","PIT","RP","23.1","22","1","0","4.24","1.39","11","21","11","2","22","0","1","0","0%"
"Zach Maxwell","CIN","RP","29.8","33","2","0","4.47","1.46","15","27","17","4","29","0","2","0","0%"
"Adam Macko","TOR","SP","14.0","12","1","0","4.73","1.40","7","14","6","2","5","3","1","0","0%"
"Sammy Peralta","","RP","12.3","11","1","0","5.00","1.51","7","12","7","2","8","0","1","0","0%"
"Tommy Doyle","COL","RP","10.9","9","1","0","4.93","1.49","6","12","5","2","10","0","1","0","0%"
"Carlos Carrasco","NYY","SP","37.2","31","2","0","4.80","1.40","20","40","12","6","15","5","2","0","1%"
"Bruce Zimmermann","MIL","SP,RP","8.7","8","0","0","4.41","1.31","4","9","2","1","5","0","0","0","0%"
"Sam Bachman","LAA","SP,RP","33.4","26","2","0","4.64","1.44","17","34","15","4","30","0","2","0","0%"
"Royber Salinas","ATL","SP","14.9","16","1","0","5.26","1.76","9","13","13","2","14","0","1","0","0%"
"Steven Wilson","CWS","RP","36.3","36","2","0","4.82","1.40","19","32","19","6","35","0","2","0","0%"
"Josh Fleming","SEA","SP,RP","18.3","11","1","0","4.20","1.35","9","19","5","2","12","0","1","0","0%"
"Albert Abreu","CIN","RP","16.8","16","1","0","4.84","1.49","9","16","9","2","16","0","1","0","0%"
"Gordon Graceffo","STL","SP","40.4","29","2","0","4.53","1.36","20","42","13","5","29","2","2","0","0%"
"Tim Hill","NYY","RP","62.5","36","3","0","4.15","1.38","29","68","19","6","60","0","2","0","0%"
"Luinder Avila","KC","SP","18.4","14","1","0","4.65","1.46","10","19","8","2","18","0","1","0","0%"
"Chris Flexen","CHC","SP,RP","20.9","17","1","0","4.68","1.41","11","22","7","3","13","1","1","0","2%"
"Jimmy Lambert","","SP,RP","15.3","15","1","0","5.11","1.50","9","15","8","3","13","0","1","0","0%"
"Mason Adams","CWS","SP","26.7","19","1","0","4.68","1.38","14","29","8","4","6","5","2","0","0%"
"Ryder Ryan","PIT","RP","15.3","12","1","0","5.10","1.49","9","16","7","3","14","0","1","0","0%"
"Cody Bolton","SEA","RP","32.9","32","1","0","4.06","1.34","15","30","14","4","31","0","2","0","0%"
"Scott McGough","ARI","RP","21.0","20","1","0","4.61","1.43","11","20","10","3","20","0","1","0","0%"
"Xzavion Curry","MIA","SP,RP","23.9","18","1","0","4.94","1.38","13","25","8","4","18","1","2","0","0%"
"Kirby Snead","","RP","7.8","6","0","0","4.52","1.49","4","8","3","1","7","0","0","0","0%"
"Justin Dunn","CWS","SP","16.7","14","0","0","5.09","1.45","9","17","7","3","14","0","1","0","0%"
"Burch Smith","PIT","RP","25.3","21","1","0","4.50","1.37","13","25","9","3","22","0","1","0","0%"
"Amos Willingham","ATL","RP","33.5","29","2","0","4.47","1.39","17","34","13","5","31","0","2","0","0%"
"Parker Mushinski","CLE","RP","14.1","12","0","0","4.42","1.42","7","14","6","1","13","0","1","0","0%"
"Carlos Hernandez","KC","RP","44.3","43","2","0","4.38","1.35","22","41","19","5","41","0","2","0","0%"
"Wikelman Gonzalez","CWS","SP","7.3","6","0","0","5.28","1.51","4","7","4","1","2","2","1","0","0%"
"Bailey Horn","DET","RP","14.6","14","1","0","4.73","1.50","8","14","8","2","14","0","1","0","0%"
"Connor Gillispie","MIA","SP,RP","37.9","32","2","0","4.64","1.38","20","37","15","6","34","0","2","0","0%"
"Cole Irvin","","SP,RP","45.8","32","2","0","4.70","1.35","24","50","12","8","10","8","3","0","2%"
"Kyle Nicolas","PIT","RP","47.4","47","2","0","4.32","1.43","23","43","24","5","44","0","2","0","0%"
"Casey Lawrence","SEA","SP,RP","11.0","7","1","0","4.75","1.34","6","12","3","2","11","0","1","0","0%"
"Jackson Kowar","SEA","RP","27.7","27","1","0","4.41","1.40","14","26","13","3","26","0","2","0","0%"
"Sam Aldegheri","LAA","SP","14.0","13","1","0","4.99","1.49","8","14","7","2","4","2","1","0","0%"
"Eric Cerantola","KC","RP","13.4","13","1","0","4.51","1.48","7","12","7","1","13","0","0","0","0%"
"Dane Acker","TEX","SP,RP","9.9","8","0","0","4.97","1.44","5","10","4","1","4","2","1","0","0%"
"Tyler Gilbert","CWS","RP","50.3","43","2","0","4.48","1.35","25","52","16","7","44","1","3","0","0%"
"Nick Nelson","","RP","12.7","11","1","0","4.67","1.49","7","13","6","1","9","0","0","0","0%"
"Joel Kuhnel","PHI","RP","15.7","11","1","0","4.44","1.31","8","16","4","2","12","0","1","0","0%"
"Noah Syndergaard","","SP","39.1","27","2","0","4.75","1.32","21","42","9","7","7","7","3","0","4%"
"Jesse Scholtens","CWS","SP,RP","8.8","7","0","0","5.41","1.52","5","10","4","2","2","2","1","0","0%"
"Jack O'Loughlin","COL","SP,RP","12.0","9","0","0","5.48","1.64","7","14","6","2","8","1","1","0","0%"
"Mason Black","SF","SP","38.2","34","2","0","4.34","1.33","18","37","14","5","24","3","2","0","0%"
"Ky Bush","CWS","SP","10.1","8","0","0","4.87","1.52","5","10","5","2","3","2","1","0","0%"
"Gabriel Hughes","COL","SP","18.1","16","1","0","4.69","1.45","9","19","7","3","17","0","1","0","0%"
"Jake Bloss","TOR","SP","39.3","32","2","0","4.71","1.39","21","39","16","6","18","6","2","0","0%"
"Yosver Zulueta","CIN","RP","41.0","41","2","0","4.28","1.45","19","39","21","4","37","0","2","0","0%"
"Jonathan Hernandez","TB","RP","24.1","22","1","0","4.46","1.45","12","23","12","3","23","0","1","0","0%"
"Matt Barnes","","RP","24.6","21","1","0","4.56","1.41","12","24","10","3","24","0","2","0","0%"
"Dominic Leone","","RP","23.5","24","1","0","4.88","1.45","13","22","12","4","23","0","1","0","0%"
"Zach Brzykcy","WSH","RP","37.9","38","2","0","4.34","1.36","18","35","17","5","36","0","2","0","0%"
"Mike Vasil","TB","SP","41.9","33","2","0","4.53","1.36","21","43","14","6","37","0","2","0","0%"
"Ross Stripling","KC","SP,RP","24.9","17","1","0","4.71","1.36","13","28","6","3","13","2","1","0","1%"
"Tyler Matzek","NYY","RP","34.2","32","1","0","4.61","1.42","18","32","16","5","32","0","1","0","0%"
"Garrett McDaniels","LAA","RP","48.1","41","2","0","4.41","1.44","24","48","21","6","46","0","2","0","0%"
"Tyler Phillips","PHI","SP","28.2","21","1","0","4.59","1.38","14","30","9","4","23","1","2","0","0%"
"Kyle Tyler","PHI","SP","35.7","28","2","0","4.57","1.42","18","37","14","4","32","0","2","0","0%"
"Dan Altavilla","CWS","RP","20.5","19","1","0","4.58","1.43","10","20","10","3","21","0","1","0","0%"
"Dylan Covey","ATL","RP","18.6","14","1","0","4.58","1.46","9","20","7","2","13","0","1","0","0%"
"Joey Wentz","PIT","RP","57.8","56","3","0","4.37","1.37","28","55","24","7","49","0","3","0","0%"
"Carson Fulmer","PIT","SP,RP","26.9","23","1","0","4.55","1.45","14","26","14","3","14","2","1","0","1%"
"Deivi Garcia","MIL","RP","19.8","21","1","0","5.14","1.50","11","18","12","3","16","0","1","0","0%"
"Janson Junk","MIA","SP,RP","20.1","14","1","0","4.71","1.39","11","22","6","3","18","0","1","0","0%"
"Luis Frias","CLE","RP","16.2","16","1","0","4.51","1.44","8","15","8","2","15","0","1","0","0%"
"Tyler Zuber","NYM","RP","32.0","31","2","0","4.74","1.40","17","30","15","5","30","0","2","0","0%"
"Carson Palmquist","COL","SP","10.9","10","0","0","5.22","1.47","6","11","5","2","2","2","1","0","0%"
"Chase Petty","CIN","SP","26.6","20","1","0","4.86","1.44","14","28","11","4","13","3","1","0","1%"
"Thaddeus Ward","BAL","SP,RP","15.8","13","1","0","4.73","1.55","8","15","9","2","14","0","1","0","0%"
"Allan Winans","NYY","SP,RP","23.6","18","1","0","4.48","1.30","12","24","7","4","13","2","1","0","0%"
"Chad Kuhl","ATL","SP,RP","7.7","6","0","0","5.34","1.56","5","8","4","1","4","0","0","0","0%"
"Lyon Richardson","CIN","SP,RP","14.4","13","1","0","4.65","1.48","7","14","7","2","10","1","1","0","0%"
"Will Klein","SEA","RP","25.0","25","1","0","4.49","1.50","12","22","15","3","24","0","1","0","0%"
"Guillo Zuniga","PHI","RP","18.3","15","1","0","4.93","1.42","10","18","8","3","17","0","1","0","0%"
"Alex Wood","","SP,RP","51.0","42","3","0","4.71","1.41","27","53","19","7","12","9","4","0","1%"
"Kolby Allard","CLE","SP,RP","26.7","22","1","0","4.76","1.40","14","28","9","4","21","1","2","0","1%"
"Brandon Bielak","ARI","SP,RP","13.0","9","0","0","5.00","1.52","7","14","5","2","6","1","1","0","0%"
"Connor Phillips","CIN","SP","21.6","22","1","0","4.78","1.45","11","20","11","3","19","0","1","0","0%"
"Chris Stratton","KC","RP","56.5","46","3","1","4.61","1.43","29","56","24","7","53","0","3","0","0%"
"John Curtiss","ARI","RP","21.0","16","1","0","4.82","1.41","11","22","7","3","20","0","1","0","0%"
"Luis Peralta","COL","RP","58.0","59","2","1","4.61","1.49","30","56","30","7","55","0","3","0","0%"
"Lake Bachar","MIA","RP","51.9","48","2","0","4.59","1.41","26","52","22","8","49","0","3","0","0%"
"Michael Arias","NYY","RP","16.2","15","1","0","5.44","1.78","10","15","14","2","16","0","1","0","0%"
"Kenny Rosenberg","","SP,RP","23.6","19","1","0","5.10","1.45","13","24","10","5","6","1","1","0","0%"
"Justin Lawrence","PIT","RP","60.2","54","3","0","4.50","1.46","30","59","29","6","57","0","3","0","0%"
"Jackson Rutledge","WSH","SP,RP","27.9","23","1","0","4.67","1.43","14","27","12","4","24","1","2","0","0%"
"Dylan Coleman","BAL","RP","18.3","19","1","0","4.55","1.51","9","16","12","2","18","0","1","0","0%"
"Paolo Espino","","SP,RP","5.6","3","0","0","6.52","1.60","4","7","2","1","2","1","0","0","0%"
"Sixto Sanchez","","SP,RP","22.8","14","1","0","4.06","1.33","10","24","7","2","6","5","1","0","1%"
"Christian Roa","MIA","SP,RP","14.0","14","1","0","4.58","1.56","7","14","8","2","10","0","1","0","0%"
"Adrian Houser","TEX","SP,RP","28.3","19","1","0","4.65","1.43","15","30","11","3","7","4","2","0","0%"
"Robby Snelling","MIA","SP","22.9","18","1","0","4.90","1.49","12","25","10","3","4","4","2","0","1%"
"Matt Sauer","LAD","SP,RP","22.0","18","1","0","4.74","1.39","12","22","9","3","21","0","1","0","0%"
"Jake Woodford","COL","SP,RP","17.7","13","1","0","5.04","1.49","10","20","6","3","11","2","1","0","0%"
"Jordan Leasure","CWS","RP","51.3","50","2","3","4.61","1.41","26","48","25","8","49","0","3","0","0%"
"James Kaprielian","","SP","12.1","9","1","0","5.60","1.52","8","13","6","2","3","2","1","0","1%"
"Jaden Hill","COL","RP","34.1","31","2","0","4.72","1.45","18","35","14","4","31","0","2","0","0%"
"George Soriano","MIA","RP","46.1","43","2","0","4.53","1.40","23","44","20","6","40","0","2","0","0%"
"Taijuan Walker","PHI","SP","62.8","46","3","0","4.79","1.39","33","64","23","10","37","4","3","0","0%"
"Tanner Rainey","PIT","RP","41.9","38","1","1","4.93","1.45","23","40","21","6","40","0","2","0","0%"
"Orlando Ribalta","WSH","RP","37.5","35","2","0","4.75","1.47","20","36","20","5","38","0","2","0","0%"
"Yerry Rodriguez","","RP","14.7","14","1","0","5.31","1.60","9","15","9","2","14","0","1","0","0%"
"Jefry Yan","COL","RP","29.3","30","1","0","4.83","1.54","16","29","16","4","26","0","1","0","0%"
"Anthony Maldonado","ATH","RP","29.3","26","2","0","4.91","1.49","16","29","15","5","25","0","2","0","0%"
"Griff McGarry","PHI","RP","15.7","16","1","0","4.77","1.60","8","14","11","2","16","0","1","0","0%"
"Noah Davis","BOS","SP,RP","6.9","5","0","0","5.78","1.60","4","8","3","1","2","1","0","0","0%"
"Michael Mercado","PHI","SP,RP","31.1","27","2","0","4.88","1.44","17","31","14","5","26","0","2","0","0%"
"Brett de Geus","MIA","RP","27.3","20","1","0","4.61","1.46","14","29","10","3","27","0","2","0","0%"
"Ken Waldichuk","ATH","SP,RP","29.3","30","1","0","4.98","1.42","16","28","13","5","6","6","2","0","0%"
"Noah Murdock","ATH","SP,RP","45.5","39","2","0","4.53","1.51","23","43","26","5","43","0","2","0","0%"
"Jordan Weems","ATL","RP","34.4","33","1","0","4.94","1.46","19","33","17","5","31","0","1","0","0%"
"Bryan Shaw","CIN","RP","19.2","16","1","0","5.02","1.56","11","20","10","3","19","0","1","0","0%"
"Bryce Jarvis","ARI","RP","48.6","38","2","0","4.75","1.49","26","49","23","7","42","0","2","0","0%"
"Diego Castillo","COL","RP","37.9","32","1","0","4.91","1.53","21","39","19","5","36","0","2","0","0%"
"Valente Bellozo","MIA","SP","59.5","43","2","0","4.88","1.40","32","63","21","10","20","9","4","0","0%"
"Anthony Molina","COL","RP","21.8","15","1","0","4.81","1.43","12","24","7","3","19","0","1","0","0%"
"Anthony Veneziano","MIA","RP","51.1","42","2","0","4.50","1.41","26","53","19","7","44","0","3","0","0%"
"Darren McCaughan","MIN","SP,RP","23.5","18","1","0","5.42","1.45","14","26","8","5","6","5","1","0","1%"
"Roddery Munoz","STL","SP","29.4","25","1","0","4.96","1.45","16","29","14","5","20","2","2","0","0%"
"Jared Shuster","CWS","SP,RP","54.1","41","2","0","4.69","1.41","28","55","22","8","39","2","3","0","0%"
"Bradley Blalock","COL","SP","37.3","27","1","0","5.37","1.52","22","41","16","6","23","4","2","0","0%"
"Owen White","CWS","SP,RP","14.6","11","0","0","5.05","1.48","8","15","6","2","13","0","1","0","0%"
"Eduardo Salazar","WSH","RP","48.8","37","2","0","4.50","1.44","24","51","20","5","44","0","3","0","0%"
"Jeff Criswell","COL","RP","23.0","25","1","0","5.46","1.57","14","25","11","4","16","0","1","0","0%"
"Patrick Corbin","","SP","82.7","64","4","0","5.03","1.46","46","93","27","13","15","15","6","0","7%"
"Victor Mederos","LAA","SP,RP","23.7","18","1","0","5.05","1.52","13","25","11","3","21","0","2","0","0%"
"Seth Johnson","PHI","SP","18.8","16","1","0","5.10","1.53","11","19","9","3","16","1","1","0","0%"
"Joan Adon","WSH","SP,RP","19.3","15","1","0","5.55","1.59","12","20","10","3","12","1","1","0","0%"
"Kai-Wei Teng","SF","SP,RP","16.1","14","1","0","5.33","1.61","10","17","9","2","10","0","1","0","0%"
"Yunior Marte","","RP","29.5","27","1","0","4.94","1.50","16","30","14","4","25","0","1","0","0%"
